title,author,description,isbn10,isbn13,published,pagecount,language,category
1984,George Orwell,"Winston Smith is a worker at the Ministry of Truth, where he falsifies records for the party. Secretly subversive, he and his colleague Julia try to free themselves from political slavery but the price of freedom is betrayal.",0451524934,9780451524935,"",246,en,Science Fiction
1Q84,Haruki Murakami,"The internationally best-selling and award-winning author of such works as What I Talk About When I Talk About Running presents a psychologically charged tale that draws on Orwellian themes. 100,000 first printing.",0307593312,9780307593313,2011,925,en,Fiction
"A Clash of Kings (A Song of Ice and Fire, #2)",George R. R. Martin,"With his estate divided and his family scattered, Lord Eddard Stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land. Reprint.",0553381695,9780553381696,1999,761,en,Fantasy
A Clockwork Orange,Anthony Burgess,"Great Music, it said, and Great Poetry would like quieten Modern Youth down and make Modern Youth more Civilized. Civilized my syphilised yarbles. A vicious fifteen-year-old droog is the central character of this 1963 classic. In Anthony Burgess's nightmare vision of the future, where the criminals take over after dark, the story is told by the central character, Alex, who talks in a brutal invented slang that brilliantly renders his and his friends' social pathology. A Clockwork Orange is a frightening fable about good and evil, and the meaning of human freedom. When the state undertakes to reform Alex to ""redeem"" him, the novel asks, ""At what cost?"" This edition includes the controversial last chapter not published in the first edition and Burgess's introduction ""A Clockwork Orange Resucked.""",0393312836,9780393312836,1995-04-17,240,en,Science Fiction
"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"","",9780765387462,"","","",Fantasy
"A Crown of Swords (Wheel of Time, #7)",Robert Jordan,"Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.",0812550285,9780812550283,1997-11-15,896,en,Fantasy
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"","",9780765376459,"","","",Fantasy
"A Darkness At Sethanon (The Riftwar Saga, #4)",Raymond E. Feist,"An evil wind blows through Midkemia. Dark legions have risen up to crush the Kingdom of the Isles and enslave it to dire magics. The final battle between Order and Chaos is abotu to begin in the ruins of the city called Sethanon.Now Pug, the master magician sometimes known as Milamber, must undertake an awesome and perilous quest to the dawn of time to grapple with an ancient and terrible Enemy for the fate of a thousand worlds.",0586066888,9780586066881,1986,527,en,Fantasy
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"","",9780553582024,"","","",Fantasy
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"","",9780553588484,"","","",Fantasy
"A Gathering of Shadows (Shades of Magic, #2)",V. E. Schwab,"Four months have passed since the shadow stone fell into Kell's possession. Four months since his path crossed with Delilah Bard. Four months since Rhy was wounded and the Dane twins fell, and the stone was cast with Holland's dying body through the rift, and into Black London. In many ways, things have almost returned to normal, though Rhy is more sober, and Kell is now plagued by his guilt. Restless, and having given up smuggling, Kell is visited by dreams of ominous magical events, waking only to think of Lila, who disappeared from the docks like she always meant to do. As Red London finalizes preparations for the Element Games-an extravagent international competition of magic, meant to entertain and keep healthy the ties between neighboring countries-a certain pirate ship draws closer, carrying old friends back into port. But while Red London is caught up in the pageantry and thrills of the Games, another London is coming back to life, and those who were thought to be forever gone have returned. After all, a shadow that was gone in the night reappears in the morning, and so it seems Black London has risen again-and so to keep magic's balance, another London must fall.",0765376474,9780765376473,2016-02-23,512,en,Fantasy
"A Memory of Light (Wheel of Time, #14)",Robert Jordan,"In the conclusion to the ""Wheel of Time"" series, all of humanity is in peril as Rand al'Thor moves forward to break the seals on the Dark One's prison and the Last Battle will determine the fate of the world.",0765325950,9780765325952,2013-01-08,909,en,Fantasy
A Scanner Darkly,Philip K. Dick,"Substance D -- otherwise known as Death -- is the most dangerous drug ever to find its way on to the black market. It destroys the links between the brain's two hemispheres, leading first to disorentation and then to complete and irreversible brain damage. Bob Arctor, undercover narcotics agent, is trying to find a lead to the source of supply, but to pass as an addict he must become a user, and soon, without knowing what is happening to him, he is as dependent as any of the addicts he is monitoring.",057507681X,9780575076815,2006,217,en,Science Fiction
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"","",9780553573428,"","","",Fantasy
A Thousand Faces,Janci Patterson,"In her debut YA science fiction novel, Janci Patterson presents a thriller that #1 NYT bestseller James Dashner calls ""a fantastic book"" and #1 NYT bestseller Brandon Sanderson calls ""hands down one of my favorite novels of the year."" In the world of high-stakes espionage, it pays to be able to change your face. And that's just what sixteen-year-old Jory and her family of shape-shifting spies can do-alter their faces and bodies to look like anyone. Jory is in training to be a full member of the family business-when she can convince her parents to let her help with their elaborate cons. But when Jory's parents go missing on the job, Jory is thrown into a world of secrets, lies, and stolen identities that will put all her training to the test. Jory's always wanted to be a member of the team- But saving her family wasn't supposed to be part of the job. Other Praise for A THOUSAND FACES: ""A Thousand Faces is a well-plotted race of a story with fantastic world building. A paranormal Mission Impossible for teens, Jory's world and story are so meticulously parsed together they make you want to look twice at every face you see on the street."" -- Aprilynne Pike, #1 NYT bestselling author of the Wings series ""A Thousand Faces is one of those rare books that can include heartbreaking and swoon-worthy romance and equally skillful action and suspense. It's a terrific novel."" -Robison Wells, author of the Blackout series ""A THOUSAND FACES is the YA thriller I've been waiting for: a fantastic, troubled heroine, struggling with an incredible power she only barely controls, trapped in a web of supernatural espionage where she can't trust anyone. The pace is quick, the intrigue is devious, and the magic is absolutely fascinating. A brilliant combination of romance, science fiction, and the supernatural."" -Dan Wells, author of the Partials Series",1516999428,9781516999422,2015-08-21,292,en,Science Fiction
A Thousand Sons,Graham McNeill,"When the primarch Magnus foresees the treachery of Warmaster Horus & warns the Emperor with the very powers he was forbidden to use, the Master of Mankind dispatches fellow primarch Leman Russ to attack Prospero itself. But Magnus has seen more than the betrayal of Horus & the revelations will change the fate of his fallen Legions forever.",1844168085,9781844168088,2009-12,558,en,Science Fiction
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Blending elements of myth and mystery, a stunning novel by the author of The Wind-Up Bird Chronicle features a cast of bizarre characters, including a sheep with a mysterious star on its back, caught up in a Nietzschean quest for power. Reprint. 15,000 first printing.",037571894X,9780375718946,2002,353,en,Fiction
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,0553383043,9780553383041,2004,182,en,Fantasy
"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,"The explosive third novel in James S.A. Corey's New York Times bestselling Expanse series. For generations, the solar system -- Mars, the Moon, the Asteroid Belt -- was humanity's great frontier. Until now. The alien artifact working through its program under the clouds of Venus has appeared in Uranus's orbit, where it has built a massive gate that leads to a starless dark. Jim Holden and the crew of the Rocinante are part of a vast flotilla of scientific and military ships going out to examine the artifact. But behind the scenes, a complex plot is unfolding, with the destruction of Holden at its core. As the emissaries of the human race try to find whether the gate is an opportunity or a threat, the greatest danger is the one they brought with them. The Expanse (soon to be a major SyFy Channel television series)Leviathan WakesCaliban's WarAbaddon's GateCibola BurnNemesis Games The Expanse Short Fiction The Butcher of Anderson StationGods of RiskThe Churn",0316129070,9780316129077,2013-06-04,576,en,Science Fiction
"Abhorsen (Abhorsen, #3)",Garth Nix,"","",9780060278250,"","","",Fantasy
About a Boy,Nick Hornby,"","",9780140285673,"","","",Fiction
"Academ's Fury (Codex Alera, #2)",Jim Butcher,"The precarious alliance between the people of Alera and the furies is thrown into disarray by the death of the First Lord of Alera, and the fate of the Alerians lies in the hands of Tavi, an untried young man who must draw on his courage to save his world. Reprint.",0441013406,9780441013401,2006,534,en,Fantasy
After Dark,Haruki Murakami,"Two sisters--Eri, a fashion model sleeping her way to oblivion, and Mari, a young student--form the center of a novel that documents a series of encounters in Tokyo during the witching hours between midnight and dawn.","",9780307265838,2007,191,en,Fiction
Agile Software Development with Scrum,Ken Schwaber,"Arguably the most important book about managing technology and systems development efforts, this book describes building systems using the deceptively simple process, Scrum. Readers will come to understand a new approach to systems development projects that cuts through the complexity and ambiguity of complex, emergent requirements and unstable technology to iteratively and quickly produce quality software. BENEFITS Learn how to immediately start producing software incrementally regardless of existing engineering practices or methodologies Learn how to simplify the implementation of Agile processes Learn how to simplify XP implementation through a Scrum wrapper Learn why Agile processes work and how to manage them Understand the theoretical underpinnings of Agile processes",0130676349,9780130676344,2002,158,en,Computer Science
"Air, Volume 1: Letters from Lost Countries",G. Willow Wilson,"","",9781401221539,"","","",Comic
All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,"The Unitarian minister reflects on America and its diverse peoples, everyday wisdoms, kindnesses, and joys, and everyday life's large meanings.",034546639X,9780345466396,2004,240,en,Nonfiction
All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,"Presents an analysis of current marketing trends, maintaining that the marketing campaigns that succeed are those that cater to the inclination of consumers to believe the best story, irrespective of the facts.",1591841003,9781591841005,2005,186,en,Business
"American Gods (American Gods, #1)",Neil Gaiman,Fantasy roman.,0747263744,9780747263746,2002,632,en,Fantasy
"American Vampire, Vol. 1",Scott Snyder,"A new vampire for a new century. Cunning, ruthless, and rattlesnake mean, Skinner Sweet has a reputation for cussedness as long as he is ornery. As the first vampire conceived on American soil, however, he's not your usual creature of the night. Stronger, fiercer and powered by the sun, Sweet is the first of a new breed of bloodsucker: the American Vampire. Forty-five years after rising from his grave, Sweet finds himself in 1920s Los Angeles, where the young and beautiful are drawn like moths to the burning lights of Hollywood. Something beyond simple human greed is at work here, however, as struggling young actress Pearl Jones is about to discover. When her movie-star dreams are transformed into a bloody nightmare, Sweet provides her only chance for survival as well as the power to take revenge.",1401228305,9781401228309,2010-10-05,192,en,Comic
"American Vampire, Vol. 3",Scott Snyder,"When the bodies of prominent businessmen start showing up drained of blood, Chief Cash McCogan must get to the bottom of the case--even if it means fighting the evil undead.",1401233333,9781401233334,2012,288,en,Comic
"American Vampire, Vol. 4",Scott Snyder,"This new hardcover collects two epic tales: ""The Beast in the Cave,"" about Skinner Sweet's involvement in the brutal Indian Wars, and ""Death Race,"" about 1950s vampire hunter Travis Kidd!Collects issues #19-27 of the smash-hit series!",1401237185,9781401237189,2012,208,en,Comic
"American Vampire, Vol. 5",Scott Snyder,"Skinner Sweet and Pearl Jones attempt to track down a coven of vampires in red-scare era Hollywood, while Hobbes and Book are called on to take out the world's most powerful vampire in Europe.",1401237703,9781401237707,2013,280,en,Comic
"American Vampire, Vol. 6",Scott Snyder,"You are cordially invited to a party--to die for! This volume of American Vampire collects eight amazing stories set in the world of American Vampire, with ""lost tales,"" new characters and old favorites. Don't miss these stories brought to you by series creators Scott Snyder and Rafael Albuquerque, as well as other awesome comics talent like Becky Cloonan (BATMAN), Gabriel Ba and Fabio Moon (DAYTRIPPER), Jeff Lemire (SWEET TOOTH), Greg Rucka (The Punisher, BATWOMAN), Gail Simone (BATGIRL) and many more! Also collected here is the stand alone tale of Fan-favorite character Travis Kidd--the vampire hunter who likes to ""bite them back"" in AMERICAN VAMPIRE: THE LONG ROAD TO HELL. This volume collects: Amerivcan Vampire Anthology #1 and American Vampire: Long Road to Hell.",1401247083,9781401247089,2014,144,en,Comic
"American Vampire, Vol. 7",Scott Snyder,"A new vampire for a new century. Cunning, ruthless, and rattlesnake mean, Skinner Sweet has a reputation for cussedness as long as he is ornery. As the first vampire conceived on American soil, however, he's not your usual creature of the night. Stronger, fiercer and powered by the sun, Sweet is the first of a new breed of bloodsucker: the American Vampire. Forty-five years after rising from his grave, Sweet finds himself in 1920s Los Angeles, where the young and beautiful are drawn like moths to the burning lights of Hollywood. Something beyond simple human greed is at work here, however, as struggling young actress Pearl Jones is about to discover. When her movie-star dreams are transformed into a bloody nightmare, Sweet provides her only chance for survival as well as the power to take revenge.",1401248829,9781401248826,2010,"",en,Comic
"American Vampire, Vol. 8",Scott Snyder,"Writer Scott Snyder takes us deeper into the fascinating, blood-soaked world of AMERICAN VAMPIRE.",1401254330,9781401254339,2016-02,144,en,Comic
Anansi Boys (American Gods),Neil Gaiman,Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother. Now brother Spider's on his doorstep—about to make Fat Charlie's life more interesting . . . and a lot more dangerous.,0060515198,9780060515195,2006-09-26,416,en,Fantasy
"And Another Thing... (Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,"An Englishman's continuing search through space and time for a decent cup of tea . . . Arthur Dent's accidental association with that wholly remarkable book, The Hitchhiker's Guide to the Galaxy, has not been entirely without incident. Arthur has traveled the length, breadth, and depth of known, and unknown, space. He has stumbled forward and backward through time. He has been blown up, reassembled, cruelly imprisoned, horribly released, and colorfully insulted more than is strictly necessary. And of course Arthur Dent has comprehensively failed to grasp the meaning of life, the universe, and everything. Arthur has finally made it home to Earth, but that does not mean he has escaped his fate. Arthur's chances of getting his hands on a decent cuppa have evaporated rapidly, along with all the world's oceans. For no sooner has he touched down on the planet Earth than he finds out that it is about to be blown up . . . again. And Another Thing . . . is the rather unexpected, but very welcome, sixth installment of the Hitchhiker's Guide to the Galaxy series. It features a pantheon of unemployed gods, everyone's favorite renegade Galactic President, a lovestruck green alien, an irritating computer, and at least one very large slab of cheese.","",9781401323585,2009-10-12,288,en,Science Fiction
"Angels & Demons (Robert Langdon, #1)",Dan Brown,"","",9781416524793,"","","",Fiction
Animal Farm,George Orwell,A satire on totalitarianism in which farm animals overthrow their human owner and set up their own government.,0452284244,9780452284241,2003,97,en,Science Fiction
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"When a twelve-year-old evil genius tries to restore his family fortune by capturing a fairy and demanding a ransom in gold, the fairies fight back with magic, technology, and a particularly nasty troll.",0786817879,9780786817870,2003-03-31,316,en,Fantasy
Aska,Yrsa Sigurðardóttir,"",997978928X,9789979789284,2007,380,en,Fiction
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,Fantasy-roman.,0006480098,9780006480099,1996,480,en,Fantasy
"Assassin's Fate (The Fitz and the Fool, #3)",Robin Hobb,"The stunning conclusion to Robin Hobb's Fitz and the Fool trilogy, which began with Fool's Assassin and Fool's Quest (""A complex tapestry of adventure, betrayal, destiny, and unrelenting peril.""--Publishers Weekly)",0553392956,9780553392951,2017-05-16,640,en,Fantasy
"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"In the epic conclusion to the Farseer trilogy, FitzChivalry emerges from the grave to save the kingdom of the Six Duchies from the plundering Prince Regal, a task requiring the most turbulent magic he can summon. Original.","",9780553565690,1998-01,757,en,Fantasy
"Atlantis (Jack Howard, #1)",David Gibbins,"Marine archaeologist Jack Howard, accompanied by a team of scientists and ex-Special Forces comandos, embarks on a search for the site of the fabled city of Atlantis, unaware that a ruthless adversary, is lurking in the background, and uncovers the shocking truth about a lost world, a secret that could have devastating repercussions for the modern world. Original.",0553587927,9780553587920,2006,465,en,Fiction
Auðnin,Guðmundur Eggertsson,"",997965726X,9789979789482,2008,198,is,Fiction
Battle for the Abyss,Ben Counter,"Horus sends the Worldbearer space marines to the planet Calth, where they are to ambush the loyalist Ultramarines. In addition to the main fleet, Horus sends a new doomsday battleship for use againsy the Ultramarines home world of Ultramar. A small strike force travels space and the warp to delay or destroy the doomsday ship to save the Ultramarines.",1844165493,9781844165490,2008-07-29,416,en,Science Fiction
"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"","",9780575077881,"","","",Fantasy
Best Served Cold,Joe Abercrombie,"Monza wants revenge, and she's going to do everything she can to get it. Her brother is dead and now she plans to kill each of the seven men who murdered him. But she needs some help - Shivers, the Northman, Cosca, the mercenary, Friendly, the former inmate of a vicious prison - all hard men to do hard, bloody deeds.--Publisher.",0575082453,9780575082458,2009,536,en,Fantasy
"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"From New York Times bestselling author Brent Weeks... Logan Gyre is king of Cenaria, a country under siege, with a threadbare army and little hope. He has one chance - a desperate gamble, but one that could destroy his kingdom. In the north, the new Godking has a plan. If it comes to fruition, no one will have the power to stop him. Kylar Stern has no choice. To save his friends-and perhaps his enemies-he must accomplish the impossible: assassinate a goddess. Beyond the Shadows is the action-packed conclusion to the Night Angel Trilogy. Night Angel The Way of Shadows Shadow's Edge Beyond the Shadows Night Angel: The Complete Trilogy (omnibus) Perfect Shadow: A Night Angel Novella (e-only) The Way of Shadows: The Graphic Novel For more from Brent Weeks, check out: Lightbringer The Black Prism The Blinding Knife The Broken Eye The Blood Mirror",0316033669,9780316033664,2008-12-01,720,en,Fantasy
"Bitch Planet, Vol. 1: Extraordinary Machine",Kelly Sue DeConnick,"In a future just a few years down the road in the wrong direction, a woman's failure to comply with her patriarchal overlords will result in exile to the meanest penal planet in the galaxy. When the newest crop of fresh femmes arrive, can they work together to stay alive or will hidden agendas, crooked guards, and the deadliest sport on (or off!) Earth take them to their maker?",1632153661,9781632153661,"","",en,Comic
"Black Powder War (Temeraire, #3)",Naomi Novik,"In the wake of their adventure in China, Captain Will Laurence of His Majesty's Aerial Corps and his dragon, Temeraire, are sent on a mission to protect three valuable dragon eggs on a trip back to England from the Ottoman Empire, but the vengeful Chinese dragon Lien allies herself with Napoleon to stop them. Original.",0345481305,9780345481306,2006,365,en,Fantasy
"Blind Willow, Sleeping Woman",Haruki Murakami,"From the surreal to the mundane, an anthology of short fiction captures a full range of human experience, emotion, and relationship in works that chronicle a chance reunion in Italy, a holiday in Hawaii, and a romantic exile in Greece.","",9781400044610,2006,333,en,Fiction
Blink: The Power of Thinking Without Thinking,Evangelia Mitleton-Kelly,"As the interconnectivity between humans through technical devices is becoming ubiquitous, the next step is already in the making: ambient intelligence, i.e. smart (technical) environments, which will eventually play the same active role in communication as the human players, leading to a co-evolution in all domains where real-time communication is essential. This topical volume, based on the findings of the Socionical European research project, gives equal attention to two highly relevant domains of applications: transport, specifically traffic, dynamics from the viewpoint of a socio-technical interaction and evacuation scenarios for large-scale emergency situations. Care was taken to investigate as much as possible the limits of scalability and to combine the modeling using complex systems science approaches with relevant data analysis.",3642366147,9780316010665,2013-05-27,293,en,Psychology
"Blood Rites (The Dresden Files, #6)",Jim Butcher,"While going undercover on the set of an adult film to investigate the mysterious deaths of several actresses, Chicago wizard Harry Desden unexpectedly learns the shocking truth about his vampire friend Thomas. Original.",0451459873,9780451459879,2004,372,en,Fantasy
"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"Richard Rahl and Kahlan Amnell must protect the New World from a savage armageddon of war, monsters, and treachery as they battle ancient forces of evil from the Old World. Reprint.",0812551478,9780812551471,1997-08-15,623,en,Fantasy
Brave New World,Aldous Huxley,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,0060929871,9780060929879,1932,311,en,Fiction
Breakfast of Champions,Kurt Vonnegut,The author questions the condition of modern man in this novel depicting a science fiction writer's struggle to find peace and sanity in the world,0385334206,9780385334204,1999,302,en,Fiction
"Brisingr (The Inheritance Cycle, #3)","","","",9780375826726,2009,"",en,Fantasy
Built to Last: Successful Habits of Visionary Companies,Jim Collins,"""This is not a book about charismatic visionary leaders. It is not about visionary product concepts or visionary products or visionary market insights. Nor is it about just having a corporate vision. This is a book about something far more important, enduring, and substantial. This is a book about visionary companies."" So write Jim Collins and Jerry Porras in this groundbreaking book that shatters myths, provides new insights, and gives practical guidance to those who would like to build landmark companies that stand the test of time. Drawing upon a six-year research project at the Stanford University Graduate School of Business, Collins and Porras took eighteen truly exceptional and long-lasting companies -- they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926 -- and studied each company in direct comparison to one of its top competitors. They examined the companies from their very beginnings to the present day -- as start-ups, as midsize companies, and as large corporations. Throughout, the authors asked: ""What makes the truly exceptional companies different from other companies?"" What separates General Electric, 3M, Merck, Wal-Mart, Hewlett-Packard, Walt Disney, and Philip Morris from their rivals? How, for example, did Procter & Gamble, which began life substantially behind rival Colgate, eventually prevail as the premier institution in its industry? How was Motorola able to move from a humble battery repair business into integrated circuits and cellular communications, while Zenith never became dominant in anything other than TVs? How did Boeing unseat McDonnell Douglas as the world's best commercial aircraft company -- what did Boeing have that McDonnell Douglas lacked? By answering such questions, Collins and Porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished out-standing companies. They also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies. Filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels, Built to Last provides a master blueprint for building organizations that will prosper long into the twenty-first century and beyond.",0060566108,9780060566104,2004-11-02,368,en,Business
"Burned (Alex Verus, #7)",Benedict Jacka,"""Diviner Alex Verus finally made one too many enemies on the Council of mages, and now one of them is angry enough to have him executed. Fighting for his life is nothing new for Alex, but this kill order also calls for the deaths of his dependents--and there's no way he'll let Luna, Anne, and Variam take the heat.""--Cover, page [4].",0425275760,9780425275764,2016-04-05,336,en,Fantasy
